"machine","ipAdresses","osVer","gitVer","directory","remoteUrl","currentBranch","currentTags","currentCommitDate","currentCommitDescription","currentCommitHash","syncTime (accuracy not guarenteed)",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/notifier/src","https://github.com/edx/notifier.git","master","16 tags point to current commit:
  ned/test-ficus.1
  ned/test-ficus.2
  nedbat/test-ficus.1rc4
  nedbat/test/ficus.1rc4.1
  nedbat/test/ficus.1rc4.2
  nedbat/test/ficus.1rc4.3
  nedbat/test/ficus.2.1
  nedbat/test/ficus.2.3
  nedbat/test/ficus.2rc1.1
  nedbat/test/ficus.2rc1.2
  open-release/ficus.1
  open-release/ficus.1rc1
  open-release/ficus.1rc2
  open-release/ficus.1rc3
  open-release/ficus.1rc4
  open-release/ficus.2","2016-11-18 18:00:55 -0500","Merge pull request #41 from edx/ned/update-kombu-for-xenial","c334599","2017-03-22 14:01:37.831281691 -0700",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/notifier/virtualenvs/notifier/src/opaque-keys","https://github.com/edx/opaque-keys.git","5 branches contain current commit:
  master
  ormsbee/lazy_key
  ormsbee/revert_caching
  revert-84-ormsbee/reapply_optimizations
  zub/ENT-211-add-aggregate-course-key","0.1.2","2014-10-15 15:17:12 -0400","Merge pull request #43 from edx/bug/old_namespaces","a70af7c","2017-03-22 14:01:40.027348276 -0700",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/programs/programs","https://github.com/edx/programs.git","master","","2017-03-09 10:49:47 -0500","Archive the programs repository","fb0e680","",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/edx-jsme","https://github.com/jazkarta/edx-jsme.git","master","1.0.1-5-g690dbf7","2017-01-05 13:46:13 -0700","Merge pull request #6 from cahrens/patch-1","690dbf7","",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/edx-sga","https://github.com/mitodl/edx-sga","4 branches contain current commit:
  fix/aq/exception_server
  master
  release
  release-candidate","2 tags point to current commit:
  v0.4.0-16-g172a90f
  v0.6.0~1","2015-02-12 16:46:43 -0500","Merge pull request #56 from mitodl/rc/0.5.0","172a90f","",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/xblock-drag-and-drop-v2","https://github.com/edx-solutions/xblock-drag-and-drop-v2.git","6 branches contain current commit:
  master
  sstudent/new_release
  sstudent/testing-2
  ziafazal/WL-581
  ziafazal/WL-581-b
  ziafazal/remove-duplicae-msgid","v2.0.11","2016-10-18 09:25:28 +0200","Merge pull request #106 from arbrandes/final_state","24c6ced","2017-03-22 13:42:18.130942335 -0700",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/rate-xblock","https://github.com/pmitros/RateXBlock.git","4 branches contain current commit:
  master
  pmitros/ux-revamp
  push-to-prod
  release-alpha","","2015-10-16 14:34:14 -0400","More i18n","367e19c","",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/edx-reverification-block","https://github.com/edx/edx-reverification-block.git","3 branches contain current commit:
  ammar/update-satellite-repos
  master
  ned/upgrade-django-1.8","0.0.5","2015-11-06 12:08:54 +0500","bump library version","cd9a252","2017-03-22 13:41:21.124870952 -0700",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/pygeoip","https://github.com/appliedsec/pygeoip.git","master","2 tags point to current commit:
  v0.3.1-5-g95e6934
  v0.3.2~10","2014-02-11 01:48:32 +0100","Add heading over the toctree","95e6934","",
"lexoxabvtc12vmss000001","10.0.0.7","16.04","2.7.4","/edx/app/edxapp/venvs/edxapp/src/parse-rest","https://github.com/dgrtwo/ParsePy.git","master","","2015-04-13 10:26:29 -0400","Merge pull request #107 from danrobinson/ACL","7949b9f","",
