machine,ipAdresses,osVer,gitVer,directory,remoteUrl,currentBranch,currentTags,currentCommitDate,currentCommitDescription,currentCommitHash,syncTime (accuracy not guarenteed)
lexoxaprodc1jb,10.0.0.4,12.04,2.10.2,/edx/app/edxapp/venvs/edxapp/src/edx-submissions,https://github.com/edx/edx-submissions.git,"12 branches contain current commit:
  diana/all-submissions
  efischer/1_0_0_release
  efischer/archive_table
  efischer/clear_state
  efischer/delete_studentitem
  efischer/django_version
  efischer/gemnasium
  efischer/mangle_key
  efischer/score_summary
  efischer/soft_delete_sub
  efischer/sql_data
  master",0.1.3,2015-11-20 17:30:38 -0500,Merge pull request #31 from edx/andya/update-requirements,02ccd59,2016-11-23 00:45:58.843595235 +0000
lexoxaprodc1vmss000003,10.0.0.19,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/ora2,https://github.com/edx/edx-ora2.git,"14 branches contain current commit:
  aj/test_ora2_build
  cdyer/celery-3.1.25
  efischer/criterion_names
  efischer/fix_acceptance_tests
  efischer/pylint_fixup
  efischer/sub_update
  efischer/swallow_reset_signal
  efischer/tmp
  efischer/update_readme
  grade_available_responses_view
  jlajoie/dsl-acceptance-tests
  jlajoie/gocd-test
  master
  rc/1.3.0",1.2.0,2017-01-26 15:31:04 -0500,Merge pull request #971 from edx/yro_release,4abd0ef,2017-03-23 16:53:51.989786155 -0700
lexoxaprodc1vmss000006,10.0.0.22,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/ora2,https://github.com/edx/edx-ora2.git,"14 branches contain current commit:
  aj/test_ora2_build
  cdyer/celery-3.1.25
  efischer/criterion_names
  efischer/fix_acceptance_tests
  efischer/pylint_fixup
  efischer/sub_update
  efischer/swallow_reset_signal
  efischer/tmp
  efischer/update_readme
  grade_available_responses_view
  jlajoie/dsl-acceptance-tests
  jlajoie/gocd-test
  master
  rc/1.3.0",1.2.0,2017-01-26 15:31:04 -0500,Merge pull request #971 from edx/yro_release,4abd0ef,2017-03-23 16:56:44.628205914 -0700
lexoxaprodc1vmss000000,10.0.0.10,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/ora2,https://github.com/edx/edx-ora2.git,"14 branches contain current commit:
  aj/test_ora2_build
  cdyer/celery-3.1.25
  efischer/criterion_names
  efischer/fix_acceptance_tests
  efischer/pylint_fixup
  efischer/sub_update
  efischer/swallow_reset_signal
  efischer/tmp
  efischer/update_readme
  grade_available_responses_view
  jlajoie/dsl-acceptance-tests
  jlajoie/gocd-test
  master
  rc/1.3.0",1.2.0,2017-01-26 15:31:04 -0500,Merge pull request #971 from edx/yro_release,4abd0ef,2017-03-23 16:57:23.042281333 -0700
lexoxaprodc1vmss000008,10.0.0.24,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/ora2,https://github.com/edx/edx-ora2.git,"14 branches contain current commit:
  aj/test_ora2_build
  cdyer/celery-3.1.25
  efischer/criterion_names
  efischer/fix_acceptance_tests
  efischer/pylint_fixup
  efischer/sub_update
  efischer/swallow_reset_signal
  efischer/tmp
  efischer/update_readme
  grade_available_responses_view
  jlajoie/dsl-acceptance-tests
  jlajoie/gocd-test
  master
  rc/1.3.0",1.2.0,2017-01-26 15:31:04 -0500,Merge pull request #971 from edx/yro_release,4abd0ef,2017-03-23 16:49:19.310679794 -0700
lexoxaprodc1vmss000007,10.0.0.23,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/ora2,https://github.com/edx/edx-ora2.git,"14 branches contain current commit:
  aj/test_ora2_build
  cdyer/celery-3.1.25
  efischer/criterion_names
  efischer/fix_acceptance_tests
  efischer/pylint_fixup
  efischer/sub_update
  efischer/swallow_reset_signal
  efischer/tmp
  efischer/update_readme
  grade_available_responses_view
  jlajoie/dsl-acceptance-tests
  jlajoie/gocd-test
  master
  rc/1.3.0",1.2.0,2017-01-26 15:31:04 -0500,Merge pull request #971 from edx/yro_release,4abd0ef,2017-03-23 16:59:59.149962857 -0700
lexoxaprodc1vmss000005,10.0.0.14,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2017-04-13 12:06:29.296845931 -0700
lexoxaprodc1vmss000000,10.0.0.5,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2017-04-13 11:59:59.533689037 -0700
lexoxaprodc1vmss000008,10.0.0.21,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2017-04-13 11:41:56.857458256 -0700
lexoxaprodc1vmss000003,10.0.0.19,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2017-03-23 16:52:22.343736985 -0700
lexoxaprodc1vmss000004,10.0.0.9,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2017-04-13 11:41:22.956638960 -0700
lexoxaprodc1vmss000006,10.0.0.22,16.04,2.7.4,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2017-03-23 16:55:33.008963260 -0700
lexoxaprodc1jb,10.0.0.4,12.04,2.10.2,/edx/app/edxapp/venvs/edxapp/src/django-splash,https://github.com/edx/django-splash.git,"2 branches contain current commit:
  ammar/upgrade-to-django1.8
  master",v0.2,2015-10-22 18:33:56 +0500,upgrade migrations,da3f5b7,2016-11-23 00:45:56.551598897 +0000
